label,fit,mcs,ms,n,dbcv,relval,p_med,p_mean,p_min,p_max,p_sum,p_frac1,p_npy_med,out_mean,out_p99,neg_clu,neg_pts,noise,cos_med,mut07,l1,tc,dom
fit500000_mcs2500_ms5_eom,500000,2500,5,88,0.4451308518751905,0.34569042359926766,0.19486186653375626,0.21485425929528323,0.0035053191240876913,0.9374994039535522,18.907174817984924,0.0,0.19486186653375626,0.2694321274757385,0.9788092374801636,0.11363636363636363,0.13087686311735014,12.504665032566658,0.148,0.054785692407733344,170.3768409090909,0.5695498046375058,27
fit500000_mcs2500_ms15_eom,500000,2500,15,89,0.4407456518740483,0.3462210536127483,0.2003566026687622,0.22520595957430894,0.010362944565713406,0.9256194233894348,20.043330402113497,0.0,0.2003566026687622,0.22133928537368774,0.9494565725326538,0.07865168539325842,0.10058880727180215,7.271894034332862,0.192,0.049207007805956035,168.39411235955055,0.5492602348738095,26
fit1000000_mcs2500_ms15_eom,1000000,2500,15,175,0.43130969929049423,0.31744377617718367,1.0,1.0,1.0,1.0,175.0,1.0,1.0,0.24195672571659088,1.0,0.09142857142857143,0.10772564344427975,7.355254467923434,0.239,0.0564610490608523,169.72736571428575,0.6525845235366743,38
fit1000000_mcs2500_ms5_eom,1000000,2500,5,176,0.39452649462206024,0.31243093430007796,1.0,1.0,1.0,1.0,176.0,1.0,1.0,0.25600603222846985,1.0,0.1534090909090909,0.16098314399126987,8.241063994405645,0.25,0.056257144987716626,169.72296022727275,0.6589728590640087,36
fit500000_mcs1000_ms15_eom,500000,1000,15,215,0.4156547947443766,0.2944949984435471,1.0,1.0,1.0,1.0,215.0,1.0,1.0,0.238627627491951,1.0,0.11627906976744186,0.12535001132861096,6.621021833558749,0.192,0.055543743989691564,170.72316744186045,0.6721577712540823,40
fit500000_mcs1000_ms5_eom,500000,1000,5,220,0.3994506718435596,0.3347808389219475,1.0,1.0,1.0,1.0,220.0,1.0,1.0,0.25140145421028137,1.0,0.11363636363636363,0.09900807950947227,7.899419802645789,0.22949999999999998,0.0616904898083352,170.61575,0.6753038016182544,39
fit500000_mcs500_ms15_eom,500000,500,15,348,0.33645730143475777,0.29630357660450024,1.0,1.0,1.0,1.0,348.0,1.0,1.0,0.27925965189933777,1.0,0.15229885057471265,0.1791150557560389,8.147844612098494,0.259,0.06959596364631768,171.8728793103448,0.7573650040696399,46
fit1000000_mcs1000_ms15_eom,1000000,1000,15,357,0.34733215048150357,0.30483010757199724,1.0,1.0,1.0,1.0,357.0,1.0,1.0,0.2857493758201599,1.0,0.1484593837535014,0.16235171594551934,8.309930605140597,0.166,0.06741617794438108,172.64223529411763,0.7440832771747702,47
fit500000_mcs500_ms5_eom,500000,500,5,363,0.24398459450128596,0.2993754528249271,1.0,1.0,1.0,1.0,363.0,1.0,1.0,0.2882858216762543,1.0,0.24242424242424243,0.2533229357718229,9.1178710715156,0.166,0.07123348477351521,172.5470220385675,0.751637137921337,48
fit1000000_mcs1000_ms5_eom,1000000,1000,5,375,0.29668413955281037,0.2845167041152412,1.0,1.0,1.0,1.0,375.0,1.0,1.0,0.2910774350166321,1.0,0.21066666666666667,0.20951817398452463,10.688013415484466,0.167,0.07149897794297425,172.38197866666667,0.7574455555162951,47
fit5000000_mcs2500_ms5_eom,5000000,2500,5,513,0.20005168395180167,0.262445295008082,1.0,1.0,1.0,1.0,513.0,1.0,1.0,0.21660420298576355,1.0,0.30994152046783624,0.32002128102162597,8.76731014380935,0.168,0.0762831085803285,172.78019493177388,0.811964415108153,54
fit500000_mcs250_ms15_eom,500000,250,15,518,0.3286192958739054,0.31756951271813594,1.0,1.0,1.0,1.0,518.0,1.0,1.0,0.3309605121612549,1.0,0.1274131274131274,0.15751428444877527,10.664331748291032,0.1685,0.08060467097265654,173.00181467181469,0.827263898361937,54
fit1000000_mcs500_ms15_eom,1000000,500,15,534,0.29748549019591064,0.33031656280238314,1.0,1.0,1.0,1.0,534.0,1.0,1.0,0.3422425091266632,1.0,0.17415730337078653,0.2098033516528623,10.892664060893866,0.1655,0.07704760151876378,173.26190636704118,0.826344431027904,54
fit5000000_mcs2500_ms15_eom,5000000,2500,15,548,0.19738777111476113,0.30439532858308715,1.0,1.0,1.0,1.0,548.0,1.0,1.0,0.30368393659591675,1.0,0.2956204379562044,0.30934632527881245,11.254761380806466,0.166,0.0761983156519596,173.24918065693433,0.8264350725503725,53
fit500000_mcs250_ms5_eom,500000,250,5,560,0.1890586063029621,0.29351162262304653,1.0,1.0,1.0,1.0,560.0,1.0,1.0,0.3284096419811249,1.0,0.32321428571428573,0.32759574926816903,12.417575112579824,0.1505,0.0820529975783816,173.82119107142856,0.8290245303673867,55
fit1000000_mcs500_ms5_eom,1000000,500,5,584,0.16205387309425676,0.2767661737832313,1.0,1.0,1.0,1.0,584.0,1.0,1.0,0.3358367383480072,1.0,0.3458904109589041,0.3336391505490218,12.896205866633212,0.166,0.08413576575917071,173.9261078767123,0.843748489329806,55
fit5000000_mcs1000_ms5_eom,5000000,1000,5,692,0.11315308694781108,0.2518046525726399,1.0,1.0,1.0,1.0,692.0,1.0,1.0,0.21574990451335907,1.0,0.4291907514450867,0.40768106663876635,9.31909317989064,0.147,0.07164352051041781,174.71456358381502,0.868116854409384,65
fit1000000_mcs250_ms15_eom,1000000,250,15,735,0.22358966330355462,0.3223020567982162,1.0,1.0,1.0,1.0,735.0,1.0,1.0,0.3933430314064026,1.0,0.25578231292517006,0.2791726970196997,15.877704845881546,0.135,0.07897716680476104,175.44750612244897,0.8971976381431842,62
fit5000000_mcs1000_ms15_eom,5000000,1000,15,784,0.12602090345046255,0.24526047426339023,1.0,1.0,1.0,1.0,784.0,1.0,1.0,0.33012694120407104,1.0,0.36096938775510207,0.3972100812884481,14.391180710695092,0.1465,0.07758361925574042,175.10123852040815,0.9082687058128831,64
fit1000000_mcs250_ms5_eom,1000000,250,5,814,0.08810722948745413,0.2594506525697908,1.0,1.0,1.0,1.0,814.0,1.0,1.0,0.35262924432754517,1.0,0.4090909090909091,0.41781026474872496,16.829601328443815,0.1385,0.07625467166840634,175.49752088452087,0.8941806492511282,62
fit5000000_mcs500_ms5_eom,5000000,500,5,856,0.06872154786232307,0.2347386023309571,1.0,1.0,1.0,1.0,856.0,1.0,1.0,0.2100493460893631,1.0,0.47546728971962615,0.46452137512327896,10.626801966050119,0.1495,0.07273741683574138,174.87136799065422,0.8641932444047944,72
fit5000000_mcs500_ms15_eom,5000000,500,15,1008,0.0547015692030264,0.24664252301524148,1.0,1.0,1.0,1.0,1008.0,1.0,1.0,0.3399951159954071,1.0,0.44642857142857145,0.4597548995350184,17.105768081818606,0.14,0.0815057565647562,175.88298214285714,0.9177504218692869,69
fit5000000_mcs250_ms5_eom,5000000,250,5,1096,0.01607309514655881,0.21424511898027512,1.0,1.0,1.0,1.0,1096.0,1.0,1.0,0.20780427753925323,1.0,0.5547445255474452,0.5228586716441936,11.670333719826811,0.1455,0.0722245646739764,175.4944352189781,0.8734308933236288,80
fit5000000_mcs250_ms15_eom,5000000,250,15,1330,0.0014723692684132234,0.19697164099835618,1.0,1.0,1.0,1.0,1330.0,1.0,1.0,0.3485020399093628,1.0,0.4857142857142857,0.5117296962759249,19.434969477766508,0.13,0.0802365607813573,176.92415338345864,0.9167637900043542,79
