timestamp_utc,vram_used_mb,vram_free_mb,vram_total_mb
2026-08-23T09:36:43Z,7384,41020,48935
2026-08-23T09:36:45Z,7384,41020,48935
2026-08-23T09:36:47Z,7384,41020,48935
2026-08-23T09:36:49Z,7384,41020,48935
2026-08-23T09:36:51Z,7384,41020,48935
2026-08-23T09:36:53Z,7384,41020,48935
2026-08-23T09:36:55Z,7384,41020,48935
2026-08-23T09:36:57Z,7384,41020,48935
2026-08-23T09:36:59Z,7384,41020,48935
2026-08-23T09:37:01Z,7384,41020,48935
2026-08-23T09:37:03Z,7384,41020,48935
2026-08-23T09:37:05Z,7384,41020,48935
2026-08-23T09:37:07Z,7384,41020,48935
2026-08-23T09:37:09Z,7384,41020,48935
2026-08-23T09:37:11Z,7384,41020,48935
2026-08-23T09:37:13Z,7384,41020,48935
2026-08-23T09:37:15Z,7384,41020,48935
2026-08-23T09:37:17Z,7384,41020,48935
2026-08-23T09:37:19Z,7384,41020,48935
2026-08-23T09:37:21Z,7384,41020,48935
2026-08-23T09:37:23Z,7384,41020,48935
2026-08-23T09:37:25Z,7384,41020,48935
2026-08-23T09:37:27Z,7384,41020,48935
2026-08-23T09:37:29Z,7384,41020,48935
2026-08-23T09:37:31Z,7384,41020,48935
2026-08-23T09:37:33Z,7384,41020,48935
2026-08-23T09:37:35Z,7384,41020,48935
2026-08-23T09:37:37Z,7384,41020,48935
2026-08-23T09:37:39Z,7384,41020,48935
2026-08-23T09:37:41Z,7384,41020,48935
2026-08-23T09:37:43Z,7384,41020,48935
2026-08-23T09:37:45Z,7384,41020,48935
2026-08-23T09:37:47Z,7384,41020,48935
2026-08-23T09:37:49Z,7384,41020,48935
2026-08-23T09:37:51Z,7384,41020,48935
2026-08-23T09:37:53Z,7384,41020,48935
2026-08-23T09:37:55Z,7384,41020,48935
2026-08-23T09:37:57Z,7384,41020,48935
2026-08-23T09:37:59Z,7384,41020,48935
2026-08-23T09:38:01Z,7384,41020,48935
2026-08-23T09:38:03Z,7384,41020,48935
2026-08-23T09:38:05Z,7384,41020,48935
2026-08-23T09:38:08Z,7384,41020,48935
2026-08-23T09:38:10Z,7384,41020,48935
2026-08-23T09:38:12Z,7384,41020,48935
2026-08-23T09:38:14Z,7384,41020,48935
2026-08-23T09:38:16Z,7384,41020,48935
2026-08-23T09:38:18Z,7384,41020,48935
2026-08-23T09:38:20Z,7384,41020,48935
2026-08-23T09:38:22Z,7384,41020,48935
2026-08-23T09:38:24Z,7384,41020,48935
2026-08-23T09:38:26Z,7384,41020,48935
2026-08-23T09:38:28Z,7384,41020,48935
2026-08-23T09:38:30Z,7384,41020,48935
2026-08-23T09:38:32Z,7384,41020,48935
2026-08-23T09:38:34Z,7384,41020,48935
2026-08-23T09:38:36Z,7384,41020,48935
2026-08-23T09:38:38Z,7384,41020,48935
2026-08-23T09:38:40Z,7384,41020,48935
2026-08-23T09:38:42Z,7384,41020,48935
2026-08-23T09:38:44Z,7384,41020,48935
2026-08-23T09:38:46Z,7384,41020,48935
2026-08-23T09:38:48Z,7384,41020,48935
2026-08-23T09:38:50Z,7384,41020,48935
2026-08-23T09:38:52Z,7384,41020,48935
2026-08-23T09:38:54Z,7384,41020,48935
2026-08-23T09:38:56Z,7384,41020,48935
2026-08-23T09:38:58Z,7384,41020,48935
2026-08-23T09:39:00Z,7384,41020,48935
2026-08-23T09:39:02Z,7384,41020,48935
2026-08-23T09:39:04Z,7384,41020,48935
2026-08-23T09:39:06Z,7384,41020,48935
2026-08-23T09:39:08Z,7384,41020,48935
2026-08-23T09:39:10Z,7384,41020,48935
2026-08-23T09:39:12Z,7384,41020,48935
2026-08-23T09:39:14Z,7384,41020,48935
2026-08-23T09:39:16Z,7384,41020,48935
2026-08-23T09:39:18Z,7384,41020,48935
2026-08-23T09:39:20Z,7384,41020,48935
2026-08-23T09:39:22Z,7384,41020,48935
2026-08-23T09:39:24Z,7384,41020,48935
2026-08-23T09:39:26Z,7384,41020,48935
2026-08-23T09:39:28Z,7384,41020,48935
2026-08-23T09:39:30Z,7384,41020,48935
2026-08-23T09:39:32Z,7384,41020,48935
2026-08-23T09:39:34Z,7384,41020,48935
2026-08-23T09:39:37Z,7384,41020,48935
2026-08-23T09:39:39Z,7384,41020,48935
2026-08-23T09:39:41Z,7384,41020,48935
2026-08-23T09:39:43Z,7384,41020,48935
2026-08-23T09:39:45Z,7384,41020,48935
2026-08-23T09:39:47Z,7384,41020,48935
2026-08-23T09:39:49Z,7384,41020,48935
2026-08-23T09:39:51Z,7384,41020,48935
2026-08-23T09:39:53Z,7384,41020,48935
2026-08-23T09:39:55Z,7384,41020,48935
2026-08-23T09:39:57Z,7384,41020,48935
2026-08-23T09:39:59Z,7384,41020,48935
2026-08-23T09:40:01Z,7384,41020,48935
2026-08-23T09:40:03Z,7384,41020,48935
2026-08-23T09:40:05Z,7384,41020,48935
2026-08-23T09:40:07Z,7384,41020,48935
2026-08-23T09:40:09Z,7384,41020,48935
2026-08-23T09:40:11Z,7384,41020,48935
2026-08-23T09:40:13Z,7384,41020,48935
2026-08-23T09:40:15Z,7384,41020,48935
2026-08-23T09:40:17Z,7384,41020,48935
2026-08-23T09:40:19Z,7384,41020,48935
2026-08-23T09:40:21Z,7384,41020,48935
2026-08-23T09:40:23Z,7384,41020,48935
2026-08-23T09:40:25Z,7384,41020,48935
2026-08-23T09:40:27Z,7384,41020,48935
2026-08-23T09:40:29Z,7384,41020,48935
2026-08-23T09:40:31Z,7384,41020,48935
