Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
cluster_164	621799	0.587	834289.52	134.174%	319444.783	81.027%	2.77515	0.572
cluster_165	538118	0.86	629614.736	117.003%	169454.497	58.099%	1.09548	0.86
cluster_166	768828	0.305	1369217.259	178.091%	685570.693	95.472%	2.29205	0.287
cluster_167	433678	0.033	831439.49	191.718%	324881.603	111.621%	3.94331	-0.011
cluster_168	420097	0.412	643739.739	153.236%	190666.073	112.772%	3.09482	0.375
cluster_169	691558	0.051	1268767.597	183.465%	408726.642	120.57%	3.45914	-0.01
cluster_170	826697	0.234	1396542.264	168.93%	410276.276	136.354%	3.2543	0.18
cluster_171	865060	0.879	1164485.612	134.613%	419477.76	65.672%	1.21946	0.89
cluster_172	418352	0.627	519851.382	124.262%	173176.763	77.97%	1.40278	0.608
cluster_173	469563	0.281	845209.124	179.999%	445677.842	96.046%	2.36563	0.263
cluster_174	479470	0.276	858610.592	179.075%	359163.526	97.017%	2.34247	0.249
